Year,Month,Week Days Number,Website
2015,July,26,https://coinmarketcap.com/historical/20150726/
2015,August,2,https://coinmarketcap.com/historical/20150802/
2015,August,9,https://coinmarketcap.com/historical/20150809/
2015,August,16,https://coinmarketcap.com/historical/20150816/
2015,August,23,https://coinmarketcap.com/historical/20150823/
2015,August,30,https://coinmarketcap.com/historical/20150830/
2015,September,6,https://coinmarketcap.com/historical/20150906/
2015,September,13,https://coinmarketcap.com/historical/20150913/
2015,September,20,https://coinmarketcap.com/historical/20150920/
2015,September,27,https://coinmarketcap.com/historical/20150927/
2015,October,4,https://coinmarketcap.com/historical/20151004/
2015,October,11,https://coinmarketcap.com/historical/20151011/
2015,October,18,https://coinmarketcap.com/historical/20151018/
2015,October,25,https://coinmarketcap.com/historical/20151025/
2015,November,1,https://coinmarketcap.com/historical/20151101/
2015,November,8,https://coinmarketcap.com/historical/20151108/
2015,November,15,https://coinmarketcap.com/historical/20151115/
2015,November,22,https://coinmarketcap.com/historical/20151122/
2015,November,29,https://coinmarketcap.com/historical/20151129/
2015,December,6,https://coinmarketcap.com/historical/20151206/
2015,December,13,https://coinmarketcap.com/historical/20151213/
2015,December,20,https://coinmarketcap.com/historical/20151220/
2015,December,27,https://coinmarketcap.com/historical/20151227/
2016,January,3,https://coinmarketcap.com/historical/20160103/
2016,January,10,https://coinmarketcap.com/historical/20160110/
2016,January,17,https://coinmarketcap.com/historical/20160117/
2016,January,24,https://coinmarketcap.com/historical/20160124/
2016,January,31,https://coinmarketcap.com/historical/20160131/
2016,February,7,https://coinmarketcap.com/historical/20160207/
2016,February,14,https://coinmarketcap.com/historical/20160214/
2016,February,21,https://coinmarketcap.com/historical/20160221/
2016,February,28,https://coinmarketcap.com/historical/20160228/
2016,March,6,https://coinmarketcap.com/historical/20160306/
2016,March,13,https://coinmarketcap.com/historical/20160313/
2016,March,20,https://coinmarketcap.com/historical/20160320/
2016,March,27,https://coinmarketcap.com/historical/20160327/
2016,April,3,https://coinmarketcap.com/historical/20160403/
2016,April,10,https://coinmarketcap.com/historical/20160410/
2016,April,17,https://coinmarketcap.com/historical/20160417/
2016,April,24,https://coinmarketcap.com/historical/20160424/
